date,category,value
1950,Biomass,1.562307
1950,Coal,12.347109
1950,Hydroelectric,0.344218
1950,Natural Gas,5.968371
1950,Nuclear,0
1950,Petroleum,13.298283
1951,Biomass,1.534669
1951,Coal,12.552996
1951,Hydroelectric,0.356131
1951,Natural Gas,7.048518
1951,Nuclear,0
1951,Petroleum,14.407674
1952,Biomass,1.474369
1952,Coal,11.306479
1952,Hydroelectric,0.374325
1952,Natural Gas,7.549621
1952,Nuclear,0
1952,Petroleum,14.933895
1953,Biomass,1.418601
1953,Coal,11.372684
1953,Hydroelectric,0.374015
1953,Natural Gas,7.906645
1953,Nuclear,0
1953,Petroleum,15.531959
1954,Biomass,1.394327
1954,Coal,9.714667
1954,Hydroelectric,0.380915
1954,Natural Gas,8.330202
1954,Nuclear,0
1954,Petroleum,15.813334
1955,Biomass,1.424143
1955,Coal,11.167259
1955,Hydroelectric,0.396597
1955,Natural Gas,8.997935
1955,Nuclear,0
1955,Petroleum,17.225269
1956,Biomass,1.415871
1956,Coal,11.349723
1956,Hydroelectric,0.427307
1956,Natural Gas,9.613975
1956,Nuclear,0
1956,Petroleum,17.904978
1957,Biomass,1.333581
1957,Coal,10.820631
1957,Hydroelectric,0.455017
1957,Natural Gas,10.190753
1957,Nuclear,0.000112
1957,Petroleum,17.89839
1958,Biomass,1.323123
1958,Coal,9.533287
1958,Hydroelectric,0.490013
1958,Natural Gas,10.663199
1958,Nuclear,0.001915
1958,Petroleum,18.49119
1959,Biomass,1.352874
1959,Coal,9.518353
1959,Hydroelectric,0.481619
1959,Natural Gas,11.717422
1959,Nuclear,0.002187
1959,Petroleum,19.279894
1960,Biomass,1.31987
1960,Coal,9.837785
1960,Geothermal,0.000114
1960,Hydroelectric,0.509889
1960,Natural Gas,12.385366
1960,Nuclear,0.006026
1960,Petroleum,19.873507
1961,Biomass,1.294762
1961,Coal,9.623351
1961,Geothermal,0.000321
1961,Hydroelectric,0.53069
1961,Natural Gas,12.926392
1961,Nuclear,0.019678
1961,Petroleum,20.169333
1962,Biomass,1.300242
1962,Coal,9.906454
1962,Geothermal,0.000343
1962,Hydroelectric,0.586917
1962,Natural Gas,13.730841
1962,Nuclear,0.026394
1962,Petroleum,20.997591
1963,Biomass,1.323316
1963,Coal,10.412538
1963,Geothermal,0.000573
1963,Hydroelectric,0.576594
1963,Natural Gas,14.403306
1963,Nuclear,0.038147
1963,Petroleum,21.645265
1964,Biomass,1.336802
1964,Coal,10.964385
1964,Geothermal,0.000695
1964,Hydroelectric,0.615189
1964,Natural Gas,15.28785
1964,Nuclear,0.039819
1964,Petroleum,22.241894
1965,Biomass,1.334761
1965,Coal,11.580608
1965,Geothermal,0.000646
1965,Hydroelectric,0.672111
1965,Natural Gas,15.768667
1965,Nuclear,0.043164
1965,Petroleum,23.1839
1966,Biomass,1.368985
1966,Coal,12.14308
1966,Geothermal,0.000641
1966,Hydroelectric,0.675363
1966,Natural Gas,16.995332
1966,Nuclear,0.064158
1966,Petroleum,24.335358
1967,Biomass,1.340249
1967,Coal,11.91375
1967,Geothermal,0.001079
1967,Hydroelectric,0.767525
1967,Natural Gas,17.944788
1967,Nuclear,0.088456
1967,Petroleum,25.273959
1968,Biomass,1.419495
1968,Coal,12.330677
1968,Geothermal,0.001487
1968,Hydroelectric,0.770679
1968,Natural Gas,19.209656
1968,Nuclear,0.141534
1968,Petroleum,26.966419
1969,Biomass,1.440487
1969,Coal,12.38154
1969,Geothermal,0.002097
1969,Hydroelectric,0.864834
1969,Natural Gas,20.677984
1969,Nuclear,0.153722
1969,Petroleum,28.320574
1970,Biomass,1.430962
1970,Coal,12.264528
1970,Geothermal,0.001792
1970,Hydroelectric,0.856267
1970,Natural Gas,21.794707
1970,Nuclear,0.239347
1970,Petroleum,29.499198
1971,Biomass,1.432323
1971,Coal,11.598411
1971,Geothermal,0.001869
1971,Hydroelectric,0.919641
1971,Natural Gas,22.469052
1971,Nuclear,0.412939
1971,Petroleum,30.538718
1972,Biomass,1.503065
1972,Coal,12.076917
1972,Geothermal,0.004957
1972,Hydroelectric,0.941469
1972,Natural Gas,22.69819
1972,Nuclear,0.583752
1972,Petroleum,32.918906
1973,Biomass,1.529068
1973,Coal,12.97149
1973,Geothermal,0.006707
1973,Hydroelectric,0.939769
1973,Natural Gas,22.512399
1973,Nuclear,0.910177
1973,Petroleum,34.806025
1974,Biomass,1.539662
1974,Coal,12.662878
1974,Geothermal,0.008368
1974,Hydroelectric,1.037971
1974,Natural Gas,21.732488
1974,Nuclear,1.272083
1974,Petroleum,33.420613
1975,Biomass,1.498734
1975,Coal,12.662786
1975,Geothermal,0.011076
1975,Hydroelectric,1.034357
1975,Natural Gas,19.947883
1975,Nuclear,1.899798
1975,Petroleum,32.698781
1976,Biomass,1.713373
1976,Coal,13.584067
1976,Geothermal,0.012339
1976,Hydroelectric,0.978986
1976,Natural Gas,20.345426
1976,Nuclear,2.111121
1976,Petroleum,35.141985
1977,Biomass,1.838332
1977,Coal,13.922103
1977,Geothermal,0.012223
1977,Hydroelectric,0.762919
1977,Natural Gas,19.930513
1977,Nuclear,2.701762
1977,Petroleum,37.082642
1978,Biomass,2.037605
1978,Coal,13.765575
1978,Geothermal,0.01016
1978,Hydroelectric,0.967183
1978,Natural Gas,20.0004
1978,Nuclear,3.024126
1978,Petroleum,37.919119
1979,Biomass,2.151906
